minute_before_kickoff,arrivals_count_mean,arrivals_count_sd,arrival_rate_pct_mean,arrival_rate_pct_sd,total_queue_length_mean,total_queue_length_sd,queue_pct_of_pre_kickoff_max
-180,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-179,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-178,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-177,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-176,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-175,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-173,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-169,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-165,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-164,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-160,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-159,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-157,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-155,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-152,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-148,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-147,0.066667,0.253708,0.000444,0.001691,0.000000,0.000000,0.000000
-146,0.133333,0.345746,0.000889,0.002305,0.000000,0.000000,0.000000
-145,0.900000,0.803012,0.006000,0.005353,0.066667,0.365148,0.002370
-144,1.900000,1.241523,0.012667,0.008277,0.300000,0.952311,0.010664
-143,2.700000,1.744943,0.018000,0.011633,0.666667,1.124441,0.023699
-142,4.766667,1.887953,0.031778,0.012586,1.533333,2.445733,0.054507
-141,7.166667,3.174069,0.047778,0.021160,2.733333,2.839783,0.097164
-140,9.333333,2.974992,0.062222,0.019833,3.866667,3.461446,0.137452
-139,10.633333,2.658536,0.070889,0.017724,6.200000,3.726883,0.220397
-138,12.433333,2.824564,0.082889,0.018830,9.033333,4.612452,0.321117
-137,13.433333,3.147887,0.089556,0.020986,11.200000,2.929046,0.398137
-136,15.600000,2.835733,0.104000,0.018905,13.166667,2.533681,0.468048
-135,16.566667,4.376137,0.110444,0.029174,15.066667,2.728310,0.535589
-134,16.733333,2.947042,0.111556,0.019647,16.833333,2.730206,0.598391
-133,17.533333,3.785028,0.116889,0.025234,17.500000,2.029948,0.622090
-132,18.300000,4.371932,0.122000,0.029146,18.466667,2.330211,0.656453
-131,18.900000,4.381387,0.126000,0.029209,19.666667,2.170862,0.699110
-130,21.366667,4.122966,0.142444,0.027486,20.100000,2.832691,0.714514
-129,22.200000,3.556441,0.148000,0.023710,20.966667,2.189053,0.745322
-128,23.000000,3.991370,0.153333,0.026609,21.333333,2.138858,0.758357
-127,22.066667,4.076284,0.147111,0.027175,21.933333,2.288402,0.779686
-126,27.100000,4.404935,0.180667,0.029366,23.466667,2.648791,0.834192
-125,28.833333,4.668924,0.192222,0.031126,24.033333,2.846454,0.854336
-124,31.466667,5.380253,0.209778,0.035868,25.066667,2.612085,0.891069
-123,31.566667,5.893792,0.210444,0.039292,25.266667,2.476557,0.898179
-122,32.800000,4.957753,0.218667,0.033052,26.933333,2.887946,0.957425
-121,33.066667,5.794964,0.220444,0.038633,28.166667,3.074739,1.001268
-120,36.733333,5.330028,0.244889,0.035534,29.033333,3.498604,1.032076
-119,39.200000,5.567145,0.261333,0.037114,30.333333,4.301831,1.078288
-118,40.166667,7.400295,0.267778,0.049335,31.333333,4.794633,1.113836
-117,42.266667,7.026714,0.281778,0.046845,33.233333,4.523375,1.181378
-116,44.966667,4.205771,0.299778,0.028038,34.500000,4.811982,1.226405
-115,45.066667,6.817489,0.300444,0.045450,35.433333,5.049297,1.259583
-114,48.600000,6.688126,0.324000,0.044588,39.366667,6.820271,1.399405
-113,48.633333,7.117164,0.324222,0.047448,42.133333,6.931852,1.497755
-112,51.633333,8.930704,0.344222,0.059538,44.333333,7.364094,1.575960
-111,55.433333,6.976232,0.369556,0.046508,49.433333,8.152357,1.757255
-110,54.400000,6.891274,0.362667,0.045942,54.966667,9.813725,1.953954
-109,55.400000,6.117245,0.369333,0.040782,62.533333,16.332184,2.222933
-108,57.666667,5.701381,0.384444,0.038009,70.400000,19.182607,2.502577
-107,57.666667,8.404979,0.384444,0.056033,81.800000,17.898950,2.907824
-106,58.500000,6.791222,0.390000,0.045275,89.166667,22.325312,3.169694
-105,64.600000,7.695050,0.430667,0.051300,101.033333,22.974474,3.591530
-104,63.633333,5.880906,0.424222,0.039206,114.900000,23.266596,4.084462
-103,63.966667,7.485542,0.426444,0.049904,130.866667,25.011354,4.652045
-102,64.900000,7.962628,0.432667,0.053084,152.733333,24.682722,5.429360
-101,65.900000,7.927908,0.439333,0.052853,169.800000,23.967507,6.036046
-100,68.800000,9.159130,0.458667,0.061061,189.466667,23.956474,6.735156
-99,70.266667,7.366903,0.468444,0.049113,210.800000,23.180551,7.493512
-98,72.766667,7.636949,0.485111,0.050913,233.866667,19.127040,8.313486
-97,71.700000,7.465553,0.478000,0.049770,252.933333,15.973973,8.991267
-96,70.333333,8.482572,0.468889,0.056550,272.300000,15.122830,9.679713
-95,70.933333,7.843000,0.472889,0.052287,286.166667,14.083699,10.172645
-94,70.366667,8.519686,0.469111,0.056798,300.233333,15.448878,10.672686
-93,71.500000,7.596506,0.476667,0.050643,316.633333,17.229652,11.255673
-92,71.466667,7.262247,0.476444,0.048415,334.966667,19.879782,11.907386
-91,71.900000,5.616171,0.479333,0.037441,352.966667,21.789721,12.547249
-90,70.800000,6.353929,0.472000,0.042360,369.966667,25.066097,13.151565
-89,73.400000,5.775095,0.489333,0.038501,390.366667,21.614943,13.876743
-88,72.333333,6.854816,0.482222,0.045699,404.833333,17.700737,14.391004
-87,72.500000,7.375402,0.483333,0.049169,425.566667,17.159864,15.128032
-86,74.200000,8.001724,0.494667,0.053345,439.233333,18.039580,15.613854
-85,70.600000,8.616744,0.470667,0.057445,454.466667,14.926795,16.155368
-84,74.066667,8.661979,0.493778,0.057747,472.466667,17.335897,16.795232
